Standard Problems (problems without solution only)
VariableCount,ConstraintCount,MaxSummand
100,200,40
ExecTimeAlg1,ExecTimeAlg2,GVertexCount,GEdgeCount,HVertexCount,HEdgeCount,RVertexCount,REdgeCount,VertexIncrementsAlg1,VertexIncrementsAlg2,MaxComponentSize,MeanComponentSize,AllComponentSizes
1755,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
32316011,2808638,-1,-1,518,1521,79,252,74516,3798,53,2,[1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/53]
48630686,2098871,-1,-1,516,1533,84,257,101982,2168,42,1,[1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/42]
33195759,2529237,-1,-1,516,1498,77,247,72729,2837,46,2,[1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/46]
61837136,2837894,-1,-1,521,1570,76,244,134474,4080,54,3,[1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/54]
44857164,599176,-1,-1,508,1451,-1,-1,85360,-1,-1,-1,[-1]
65795560,2012272,-1,-1,517,1432,86,267,138016,2619,46,2,[1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/46]
40901081,2569904,-1,-1,501,1468,76,240,105185,3157,46,2,[1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/46]
27472282,3443507,-1,-1,514,1431,84,265,79116,5940,68,4,[1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/68]
38042999,2898456,-1,-1,506,1450,78,248,88349,3968,54,3,[1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/54]
88167238,2458435,-1,-1,532,1551,81,256,181486,3510,53,2,[1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/53]
66745523,676998,-1,-1,528,1546,-1,-1,176414,-1,-1,-1,[-1]
33257490,481272,-1,-1,496,1417,-1,-1,59640,-1,-1,-1,[-1]
30223869,3011387,-1,-1,522,1516,85,268,71677,5346,60,3,[1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/60]
57456246,618486,-1,-1,520,1489,-1,-1,113292,-1,-1,-1,[-1]
16239485,2279970,-1,-1,503,1424,81,248,50503,2776,42,2,[1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/2/3/42]
45226969,2804250,-1,-1,520,1469,79,254,137334,4831,59,3,[1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/2/59]
35720900,591862,-1,-1,519,1555,-1,-1,80373,-1,-1,-1,[-1]
21454483,2844623,-1,-1,536,1567,81,255,56657,4252,55,3,[1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/55]
38744282,2858374,-1,-1,535,1580,84,264,87972,4650,57,3,[1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/57]
57336586,3186341,-1,-1,531,1556,85,262,126293,5198,63,3,[1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/63]
41844023,2883535,-1,-1,525,1505,85,267,132080,5202,60,3,[1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/60]
29284731,2616422,-1,-1,506,1414,76,245,67612,3830,53,3,[1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/53]
41538876,666466,-1,-1,515,1509,-1,-1,92532,-1,-1,-1,[-1]
19934307,2209462,-1,-1,517,1482,84,260,54031,3067,49,2,[1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/49]
37270039,2682542,-1,-1,510,1502,77,245,103383,3908,51,2,[1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/51]
