Tiny Problems 1 (problems without solution only)
VariableCount,ConstraintCount,MaxSummand
8,8,5
ExecTimeAlg1,ExecTimeAlg2,GVertexCount,GEdgeCount,HVertexCount,HEdgeCount,RVertexCount,REdgeCount,VertexIncrementsAlg1,VertexIncrementsAlg2,MaxComponentSize,MeanComponentSize,AllComponentSizes
292,292,29,53,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,0,26,53,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
293,0,26,57,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
0,293,25,49,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,292,25,47,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,292,24,49,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,293,26,53,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,293,25,45,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,0,23,48,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,292,26,52,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,292,23,46,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,585,24,44,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,0,25,50,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
585,292,27,54,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,292,25,53,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
585,0,29,56,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,292,28,59,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,585,23,40,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
585,292,24,49,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
293,292,26,47,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,292,29,63,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,292,25,48,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,292,32,59,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,0,27,53,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,585,25,42,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,0,26,48,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,292,21,38,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
293,292,25,55,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,292,27,53,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,0,27,54,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,292,28,55,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,292,23,41,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,292,24,49,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,292,26,61,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,293,27,47,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,585,28,58,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,292,28,53,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
585,292,26,52,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
585,292,30,57,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
585,292,28,54,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
0,293,28,50,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,585,23,40,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,0,21,53,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,292,26,44,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
0,585,25,53,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
293,292,30,57,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,292,27,49,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,292,24,54,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,293,29,54,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
293,292,27,51,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
585,292,24,41,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,292,25,45,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,585,31,60,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,292,29,56,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
585,292,25,48,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,292,27,57,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
585,292,23,43,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
293,0,25,44,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
585,292,29,52,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
293,292,24,47,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,292,30,51,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,292,24,45,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,585,28,52,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,292,22,43,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
585,292,28,51,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,292,21,44,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,292,24,43,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,585,30,62,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,292,25,44,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
