Tiny Problems 2 (problems without solution only)
VariableCount,ConstraintCount,MaxSummand
8,15,5
ExecTimeAlg1,ExecTimeAlg2,GVertexCount,GEdgeCount,HVertexCount,HEdgeCount,RVertexCount,REdgeCount,VertexIncrementsAlg1,VertexIncrementsAlg2,MaxComponentSize,MeanComponentSize,AllComponentSizes
585,292,40,94,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,293,39,96,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,292,39,94,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,292,39,110,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
293,292,37,98,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,292,38,100,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,292,32,73,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
0,292,39,107,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
293,292,38,88,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
0,585,39,97,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,292,35,85,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,292,38,87,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,0,36,91,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,292,34,82,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
293,292,39,106,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,292,39,100,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
402864,115271,39,96,37,89,7,18,1292,30,4,1,[1=4/4=2]
292,585,40,99,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
293,0,41,96,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
293,585,40,102,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,292,41,106,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
585,292,37,102,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,293,38,87,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
293,0,43,113,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,585,41,107,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
585,292,36,89,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,292,42,112,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
585,0,39,93,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
0,292,39,100,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,292,39,94,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,292,39,93,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,292,40,93,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
546806,101813,37,102,34,93,6,13,1531,13,2,1,[1=5/2=2]
292,585,41,102,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
585,292,37,84,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
293,292,41,98,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
293,292,41,113,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,292,35,87,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
585,0,39,95,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
0,293,37,108,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,0,34,84,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,293,40,95,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
389698,106787,42,114,40,109,6,14,1511,31,4,2,[1=3/4=2]
292,585,39,96,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
102106,92744,35,78,33,71,7,15,239,22,3,1,[1=5/3=2]
292,585,35,85,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,292,37,91,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
585,292,41,105,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,292,32,80,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
523109,117319,41,102,41,101,9,21,1653,75,7,3,[1=3/7=2]
292,585,38,110,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,0,42,99,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,292,36,99,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,292,41,105,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,292,39,95,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
293,0,37,100,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,292,37,90,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
585,292,45,115,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
604735,45348,36,97,35,92,-1,-1,1783,-1,-1,-1,[-1=2]
292,292,35,93,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,292,37,100,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,292,41,104,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,292,41,108,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
293,0,39,97,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,292,43,109,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,0,38,92,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,293,41,105,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
585,0,38,96,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,292,38,89,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,0,39,96,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,292,41,102,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
