Tiny Problems 3 (problems with solution only)
VariableCount,ConstraintCount,MaxSummand
10,20,5
ExecTimeAlg1,ExecTimeAlg2,GVertexCount,GEdgeCount,HVertexCount,HEdgeCount,RVertexCount,REdgeCount,VertexIncrementsAlg1,VertexIncrementsAlg2,MaxComponentSize,MeanComponentSize,AllComponentSizes
94792,174955,49,115,48,111,10,22,106,11,2,1,[1=9/2=2]
96547,156230,50,133,49,129,10,20,97,10,1,1,[1=11]
104739,172614,54,137,52,131,9,21,102,13,5,1,[1=5/5=2]
95669,174662,50,129,49,122,10,25,104,10,1,1,[1=11]
100350,170859,49,121,48,116,10,24,75,11,2,1,[1=9/2=2]
104739,172614,53,133,52,124,10,25,110,12,3,1,[1=6/2=2/3=2]
92744,156523,50,118,48,113,9,25,97,15,5,1,[1=5/5=2]
93036,162375,46,112,45,105,10,24,94,13,5,1,[1=6/5=2]
102691,172614,49,125,48,115,10,23,84,13,6,2,[1=5/6=2]
85137,149794,50,121,48,115,9,22,96,11,4,1,[1=6/4=2]
114686,168518,51,129,47,116,7,16,86,8,4,1,[1=4/4=2]
103861,171444,51,131,50,122,10,24,105,10,2,1,[1=9/2=2]
108834,174954,53,140,50,128,8,18,112,9,2,1,[1=7/2=2]
113516,198067,54,145,53,135,10,25,82,10,4,1,[1=5/2=2/4=2]
91866,153597,49,118,47,112,9,21,82,18,6,2,[1=4/6=2]
96839,158863,54,139,53,134,10,24,122,10,1,1,[1=11]
106494,198068,48,124,48,117,11,26,122,11,2,1,[1=8/2=3]
95376,162667,45,115,44,106,10,24,81,10,1,1,[1=11]
98302,183731,57,154,57,151,11,26,89,11,1,1,[1=12]
106495,183440,52,140,51,133,10,24,118,15,5,1,[1=6/5=2]
82796,156523,50,122,49,119,10,22,86,11,2,1,[1=9/2=2]
80748,159742,48,118,48,116,11,26,65,13,4,1,[1=6/2=2/4=2]
105324,176710,51,136,50,129,10,22,96,10,1,1,[1=11]
86600,163252,51,127,51,126,11,28,88,12,2,1,[1=10/2=2]
112346,171444,51,130,49,119,10,23,127,12,3,1,[1=8/3=2]
93914,154475,47,118,46,111,10,24,108,10,1,1,[1=11]
107664,167348,53,142,50,131,8,17,104,8,1,1,[1=9]
90696,158864,50,120,49,115,10,24,94,10,3,1,[1=8/3=2]
103569,155353,55,146,53,138,9,20,130,9,1,1,[1=10]
99765,170566,49,151,48,143,9,21,105,12,6,2,[1=4/6=2]
86599,163837,52,132,51,128,10,24,89,11,2,1,[1=9/2=2]
92158,169103,53,131,53,129,11,28,93,14,4,1,[1=4/2=3/4=2]
81626,145406,46,107,44,99,9,23,78,9,3,1,[1=7/3=2]
95669,167934,53,135,51,127,9,24,82,13,7,3,[1=3/7=2]
102983,174077,54,140,53,134,10,24,83,10,2,1,[1=9/2=2]
92158,173492,51,126,51,124,11,25,91,11,2,1,[1=10/2=2]
102105,179051,52,133,51,126,10,23,84,10,2,1,[1=9/2=2]
104154,172614,51,132,51,127,11,27,115,16,4,1,[1=8/4=2]
88355,163837,54,134,54,133,11,26,81,16,8,2,[1=4/8=2]
89526,156523,45,112,44,104,9,21,82,10,2,1,[1=8/2=2]
128729,190754,51,128,47,112,7,17,135,11,3,1,[1=3/2=2/3=2]
110298,188120,51,131,50,125,10,28,93,13,4,1,[1=5/2=2/4=2]
103276,175832,52,131,51,123,10,26,82,11,3,1,[1=8/3=2]
92451,140725,46,113,41,97,6,14,86,11,5,3,[1=2/5=2]
114687,192509,54,142,54,138,11,27,124,13,3,1,[1=7/2=2/3=2]
107079,171444,51,131,49,120,9,22,98,11,3,1,[1=7/3=2]
103276,173784,50,137,49,129,10,21,80,10,3,1,[1=8/3=2]
117904,188412,52,126,52,124,11,27,146,16,4,1,[1=8/4=2]
