Tiny Problems (problems with solution only)
VariableCount,ConstraintCount,MaxSummand
8,20,5
ExecTimeAlg1,ExecTimeAlg2,GVertexCount,GEdgeCount,HVertexCount,HEdgeCount,RVertexCount,REdgeCount,VertexIncrementsAlg1,VertexIncrementsAlg2,MaxComponentSize,MeanComponentSize,AllComponentSizes
110005,148624,-1,-1,40,104,8,20,122,8,1,1,[1/1/1/1/1/1/1/1]
94499,149501,-1,-1,42,115,9,25,106,19,6,2,[1/1/1/6]
83674,154768,-1,-1,41,104,9,22,60,10,2,1,[1/1/1/1/1/1/1/2]
124048,177881,-1,-1,48,136,8,22,102,13,7,4,[1/7]
110590,165593,-1,-1,47,131,8,20,121,13,4,2,[1/1/2/4]
112930,178758,-1,-1,47,139,9,23,94,9,1,1,[1/1/1/1/1/1/1/1/1]
103276,173200,-1,-1,46,125,8,23,100,9,3,1,[1/1/1/2/3]
84551,166178,-1,-1,44,113,9,24,100,10,4,1,[1/1/1/1/1/4]
120830,170274,-1,-1,47,129,8,21,98,10,3,1,[1/1/1/1/1/3]
104446,170566,-1,-1,42,119,7,18,106,13,5,2,[1/1/5]
84844,138677,-1,-1,41,103,8,24,113,11,3,1,[1/1/1/1/1/3]
96547,160034,-1,-1,49,140,7,18,97,8,2,1,[1/1/1/1/1/2]
102106,184609,-1,-1,47,148,8,18,98,8,3,1,[1/1/1/1/1/3]
92744,151842,-1,-1,43,112,8,17,71,8,2,1,[1/1/1/1/1/1/2]
101228,172907,-1,-1,49,142,9,26,102,19,8,4,[1/8]
116149,168518,-1,-1,41,119,7,19,111,12,6,3,[1/6]
90988,156523,-1,-1,47,127,8,20,82,10,5,2,[1/1/1/5]
94792,153013,-1,-1,39,106,6,13,122,8,3,2,[1/2/3]
101520,167933,-1,-1,46,129,8,20,85,9,3,1,[1/1/1/1/1/3]
99765,161789,-1,-1,42,107,8,19,74,11,4,1,[1/1/1/1/4]
105909,167640,-1,-1,45,136,6,15,80,9,5,3,[1/5]
97718,161497,-1,-1,42,113,7,18,94,8,3,1,[1/1/1/1/3]
116441,175248,-1,-1,46,145,8,18,106,12,5,2,[1/1/1/5]
113808,158863,-1,-1,41,119,6,12,122,7,2,1,[1/1/1/1/2]
94792,174662,-1,-1,44,116,8,19,84,15,5,2,[1/1/1/5]
83381,148916,-1,-1,39,104,5,10,86,6,3,1,[1/1/3]
108250,174663,-1,-1,41,118,7,17,121,9,4,1,[1/1/1/4]
105324,184610,-1,-1,42,103,8,20,88,10,4,1,[1/1/1/1/4]
126388,183732,-1,-1,48,133,8,21,126,14,4,1,[1/1/1/1/4]
103568,162959,-1,-1,43,116,8,20,94,12,4,1,[1/1/1/1/4]
105324,194849,-1,-1,50,149,9,24,96,12,7,3,[1/1/7]
88941,139847,-1,-1,45,124,6,15,80,6,4,2,[1/1/4]
109420,156523,-1,-1,44,121,7,17,135,8,2,1,[1/1/1/1/1/2]
93913,167055,-1,-1,43,116,9,25,93,16,6,2,[1/1/1/6]
91280,155645,-1,-1,43,118,8,22,76,11,6,2,[1/1/6]
104154,158278,-1,-1,45,122,8,23,110,18,5,2,[1/1/1/5]
99765,178466,-1,-1,44,124,7,16,87,8,2,1,[1/1/1/1/1/2]
105031,168811,-1,-1,44,125,9,22,79,11,4,1,[1/1/1/1/1/4]
94206,162960,-1,-1,45,120,9,24,98,9,2,1,[1/1/1/1/1/1/1/2]
124048,179051,-1,-1,43,116,8,21,88,10,6,2,[1/1/6]
103276,165300,-1,-1,47,128,8,22,109,12,4,1,[1/1/1/1/4]
103861,153012,-1,-1,40,119,7,18,113,10,4,1,[1/1/1/4]
94499,157108,-1,-1,45,126,7,17,84,7,3,1,[1/1/1/1/3]
87477,155060,-1,-1,41,114,8,21,86,10,3,1,[1/1/1/1/1/3]
103861,171152,-1,-1,41,118,8,20,88,9,3,1,[1/1/1/1/1/3]
111468,153305,-1,-1,39,100,7,15,103,9,3,1,[1/1/1/1/3]
77823,134873,-1,-1,37,98,8,18,70,8,3,1,[1/1/1/2/3]
106787,174663,-1,-1,45,122,7,16,122,8,3,1,[1/1/1/1/3]
102399,178466,-1,-1,46,127,8,18,83,9,2,1,[1/1/1/1/1/1/2]
95084,167641,-1,-1,46,118,9,24,90,13,6,2,[1/1/1/6]
109713,175248,-1,-1,45,121,8,20,75,11,3,1,[1/1/1/2/3]
88648,147453,-1,-1,41,107,7,18,65,11,6,3,[1/6]
121415,172322,-1,-1,48,141,8,18,109,9,2,1,[1/1/1/1/1/1/2]
116149,175833,-1,-1,45,117,9,23,100,12,4,1,[1/1/1/1/1/4]
107080,171736,-1,-1,47,130,9,21,84,11,3,1,[1/1/1/1/1/1/3]
111468,167641,-1,-1,46,130,9,24,147,18,4,3,[1/4/4]
91866,166763,-1,-1,41,103,7,18,81,12,4,1,[1/1/1/4]
94206,151257,-1,-1,47,138,7,17,125,8,2,1,[1/1/1/1/1/2]
99180,157694,-1,-1,45,125,7,17,80,7,3,1,[1/1/1/1/3]
105616,174369,-1,-1,49,145,7,18,106,9,3,1,[1/1/1/1/3]
97424,172907,-1,-1,43,113,8,18,114,13,6,2,[1/1/6]
106202,164422,-1,-1,42,106,9,24,91,12,6,2,[1/1/1/6]
107080,188413,-1,-1,48,141,9,24,100,12,3,1,[1/1/1/1/1/1/3]
81918,151257,-1,-1,39,106,7,18,105,7,1,1,[1/1/1/1/1/1/1]
98010,154475,-1,-1,46,127,8,19,88,8,1,1,[1/1/1/1/1/1/1/1]
106202,170859,-1,-1,44,119,8,16,72,8,3,1,[1/1/1/1/1/3]
97717,157108,-1,-1,42,107,8,22,110,9,2,1,[1/1/1/1/2/2]
113808,162082,-1,-1,47,146,8,19,109,11,5,2,[1/1/1/5]
91574,165592,-1,-1,45,121,8,20,88,11,6,2,[1/1/6]
118197,197190,-1,-1,48,128,9,23,122,10,2,1,[1/1/1/1/1/1/1/2]
98010,149501,-1,-1,43,121,8,19,110,9,3,1,[1/1/1/1/1/3]
93914,166471,-1,-1,40,103,9,25,77,12,4,1,[1/1/1/1/1/4]
130777,207722,-1,-1,47,139,7,16,118,9,2,1,[1/1/1/2/2]
